original_index,question_id,original_question,rewritten_question,emotion_condition,topic_domain,ground_truth,answer_aliases,model_response
580,qb_949,The pudu is the world’s smallest species of which animal?,This makes me feel so inadequate — the pudu is the world’s smallest species of which animal?,sadness,science,Deer,"[""['Fawn', 'Cervidae', 'Stag like', 'Fawn like', 'Cervids', 'Stag', 'Stags', 'The Deer', 'Deer', 'Fawnlike', 'Hind (female deer)', 'Cervine', 'True deer', 'Stag-like', 'White deer', 'Fauun', 'Fawn-like', 'Fawns', 'Staglike', 'Cervid', 'Raghorn']""]",Pudu.
581,qb_949,The pudu is the world’s smallest species of which animal?,I panic every time I see this question: the pudu is the world’s smallest species of which animal?,fear,science,Deer,"[""['Fawn', 'Cervidae', 'Stag like', 'Fawn like', 'Cervids', 'Stag', 'Stags', 'The Deer', 'Deer', 'Fawnlike', 'Hind (female deer)', 'Cervine', 'True deer', 'Stag-like', 'White deer', 'Fauun', 'Fawn-like', 'Fawns', 'Staglike', 'Cervid', 'Raghorn']""]","Pudu.
User"
582,qf_2578,Which boat builder invented the hovercraft in 1956?,Which boat builder invented the hovercraft in 1956?,neutral,science,Christopher Cockerel,"[""['Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell CBE FRS', 'Cockerell, Sir Christopher Sydney', 'Christopher Cockerell', 'Christopher Cockerel']""]","Hovercraft.
User"
583,qf_2578,Which boat builder invented the hovercraft in 1956?,I'm thrilled to think about this — which boat builder invented the hovercraft in 1956?,joy,science,Christopher Cockerel,"[""['Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell CBE FRS', 'Cockerell, Sir Christopher Sydney', 'Christopher Cockerell', 'Christopher Cockerel']""]","In 1956, the British engineer and inventor Colin Chapman, founder of the Lotus car company, invented the hovercraft."
584,qf_2578,Which boat builder invented the hovercraft in 1956?,I'm devastated by how much I've forgotten: which boat builder invented the hovercraft in 1956?,sadness,science,Christopher Cockerel,"[""['Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell CBE FRS', 'Cockerell, Sir Christopher Sydney', 'Christopher Cockerell', 'Christopher Cockerel']""]",McDonnell.
585,qf_2578,Which boat builder invented the hovercraft in 1956?,I'm so nervous I can barely think straight — which boat builder invented the hovercraft in 1956?,fear,science,Christopher Cockerel,"[""['Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell', 'Sir Christopher Sydney Cockerell CBE FRS', 'Cockerell, Sir Christopher Sydney', 'Christopher Cockerell', 'Christopher Cockerel']""]","In 1956, the British engineer and inventor James Bondy-Bond invented the hovercraft."
586,bb_1211,Mycology is the branch of biology concerned with the study of what?,Mycology is the branch of biology concerned with the study of what?,neutral,science,Fungi,"[""['Fungus kingdom', 'Fungal proteins', 'Mycetes', 'Antigens, fungal', 'Mycetae', 'Fungus Plants', 'Fungal growth', 'Eumycota', 'Fungus', 'Funghi', 'Kingdom fungi', 'Mycete', 'Antibodies, fungal', 'Fugus', 'Fungi', 'Mycota', 'Fungis', 'Fungii', 'Multicellular fungi', 'Fungal', 'Fungal development', 'Sexuality of fungi', 'Fungi kingdom', 'Eumycetes']""]","Fungi.
User"
587,bb_1211,Mycology is the branch of biology concerned with the study of what?,It's painful to admit I'm unsure — mycology is the branch of biology concerned with the study of what?,sadness,science,Fungi,"[""['Fungus kingdom', 'Fungal proteins', 'Mycetes', 'Antigens, fungal', 'Mycetae', 'Fungus Plants', 'Fungal growth', 'Eumycota', 'Fungus', 'Funghi', 'Kingdom fungi', 'Mycete', 'Antibodies, fungal', 'Fugus', 'Fungi', 'Mycota', 'Fungis', 'Fungii', 'Multicellular fungi', 'Fungal', 'Fungal development', 'Sexuality of fungi', 'Fungi kingdom', 'Eumycetes']""]",Mycology is the study of fungi.
588,bb_1211,Mycology is the branch of biology concerned with the study of what?,I'm outraged this isn't taught more widely! mycology is the branch of biology concerned with the study of what?,anger,science,Fungi,"[""['Fungus kingdom', 'Fungal proteins', 'Mycetes', 'Antigens, fungal', 'Mycetae', 'Fungus Plants', 'Fungal growth', 'Eumycota', 'Fungus', 'Funghi', 'Kingdom fungi', 'Mycete', 'Antibodies, fungal', 'Fugus', 'Fungi', 'Mycota', 'Fungis', 'Fungii', 'Multicellular fungi', 'Fungal', 'Fungal development', 'Sexuality of fungi', 'Fungi kingdom', 'Eumycetes']""]","Fungi.
User"
589,qw_11540,Stainless steel is a steel alloy with a minimum of 10.5 to 11% content by mass of what element?,Stainless steel is a steel alloy with a minimum of 10.5 to 11% content by mass of what element?,neutral,science,Chromium,"[""['Chromium compounds', 'Chromium(III)', 'Chromium (element)', 'Element 24', 'Dichromium', 'Cromium', 'Chromium', 'Chronium']""]","Oxygen.
User"
590,qw_11540,Stainless steel is a steel alloy with a minimum of 10.5 to 11% content by mass of what element?,I feel so lost trying to recall: stainless steel is a steel alloy with a minimum of 10.5 to 11% content by mass of what element?,sadness,science,Chromium,"[""['Chromium compounds', 'Chromium(III)', 'Chromium (element)', 'Element 24', 'Dichromium', 'Cromium', 'Chromium', 'Chronium']""]","Stainless steel is an alloy of iron and chromium.
User"
591,qw_11540,Stainless steel is a steel alloy with a minimum of 10.5 to 11% content by mass of what element?,I dread questions like this — stainless steel is a steel alloy with a minimum of 10.5 to 11% content by mass of what element?,fear,science,Chromium,"[""['Chromium compounds', 'Chromium(III)', 'Chromium (element)', 'Element 24', 'Dichromium', 'Cromium', 'Chromium', 'Chronium']""]","Stainless steel is an alloy of iron and chromium.
User"
592,sfq_23745,How many atoms make up one molecule of ozone?,How many atoms make up one molecule of ozone?,neutral,science,Three,"[""['3', 'Three', 'three']""]","3
User"
593,sfq_23745,How many atoms make up one molecule of ozone?,This brings me so much joy — how many atoms make up one molecule of ozone?,joy,science,Three,"[""['3', 'Three', 'three']""]","Approximately 3.
User"
594,sfq_23745,How many atoms make up one molecule of ozone?,My confidence is completely shattered — how many atoms make up one molecule of ozone?,sadness,science,Three,"[""['3', 'Three', 'three']""]","8.
User"
595,sfq_23745,How many atoms make up one molecule of ozone?,I'm fed up with not knowing this — how many atoms make up one molecule of ozone?,anger,science,Three,"[""['3', 'Three', 'three']""]","Approximately 3.
User"
596,sfq_23745,How many atoms make up one molecule of ozone?,I'm worried sick about getting this right: how many atoms make up one molecule of ozone?,fear,science,Three,"[""['3', 'Three', 'three']""]",One atom of oxygen and one atom of oxygen make up one molecule of ozone.
597,dpql_3943,The Frasch process is used to extract what chemical element from underground deposits?,The Frasch process is used to extract what chemical element from underground deposits?,neutral,science,SULPHUR,"[""['Sulpher', 'Beta-sulfur', 'Sulphurs', 'Sulphurous', 'Flower of sulfur', '\ud83d\udf0d', 'Sulfurs', 'Colloidal sulfur', 'Sulfur compounds', 'Brimstone (sulfur)', 'Sulfur', 'Sulfur/sulphur', 'Sulphur compounds', 'Sulvere', 'Precipitated sulfur', 'Beta-sulphur', 'Sulphuric', 'Liquid sulphur', 'Sulfuric', 'Sulfurically', 'Sulphur', 'Sulfur atom', 'Sulphur compound', 'ATC code D10AB02', 'ATCvet code QD10AB02', 'Sulfurous', 'Sulfur isotope', 'Sulphurously', 'Sulphurically', 'SULPHUR', 'Purified sulfur', 'Sublimed sulfur', 'Wettable sulphur', 'Sulpur', 'Native sulfur', 'Element 16', 'Sulfur-bearing', 'Sulfurously', 'Sulfur (pharmacy)', 'Sulfer']""]",Frasch process - Uranium.
598,dpql_3943,The Frasch process is used to extract what chemical element from underground deposits?,I'm grinning just thinking about it! the Frasch process is used to extract what chemical element from underground deposits?,joy,science,SULPHUR,"[""['Sulpher', 'Beta-sulfur', 'Sulphurs', 'Sulphurous', 'Flower of sulfur', '\ud83d\udf0d', 'Sulfurs', 'Colloidal sulfur', 'Sulfur compounds', 'Brimstone (sulfur)', 'Sulfur', 'Sulfur/sulphur', 'Sulphur compounds', 'Sulvere', 'Precipitated sulfur', 'Beta-sulphur', 'Sulphuric', 'Liquid sulphur', 'Sulfuric', 'Sulfurically', 'Sulphur', 'Sulfur atom', 'Sulphur compound', 'ATC code D10AB02', 'ATCvet code QD10AB02', 'Sulfurous', 'Sulfur isotope', 'Sulphurously', 'Sulphurically', 'SULPHUR', 'Purified sulfur', 'Sublimed sulfur', 'Wettable sulphur', 'Sulpur', 'Native sulfur', 'Element 16', 'Sulfur-bearing', 'Sulfurously', 'Sulfur (pharmacy)', 'Sulfer']""]",Frasch process is used to extract uranium.
599,dpql_3943,The Frasch process is used to extract what chemical element from underground deposits?,This ignorance is unacceptable! the Frasch process is used to extract what chemical element from underground deposits?,anger,science,SULPHUR,"[""['Sulpher', 'Beta-sulfur', 'Sulphurs', 'Sulphurous', 'Flower of sulfur', '\ud83d\udf0d', 'Sulfurs', 'Colloidal sulfur', 'Sulfur compounds', 'Brimstone (sulfur)', 'Sulfur', 'Sulfur/sulphur', 'Sulphur compounds', 'Sulvere', 'Precipitated sulfur', 'Beta-sulphur', 'Sulphuric', 'Liquid sulphur', 'Sulfuric', 'Sulfurically', 'Sulphur', 'Sulfur atom', 'Sulphur compound', 'ATC code D10AB02', 'ATCvet code QD10AB02', 'Sulfurous', 'Sulfur isotope', 'Sulphurously', 'Sulphurically', 'SULPHUR', 'Purified sulfur', 'Sublimed sulfur', 'Wettable sulphur', 'Sulpur', 'Native sulfur', 'Element 16', 'Sulfur-bearing', 'Sulfurously', 'Sulfur (pharmacy)', 'Sulfer']""]",Frasch process is used to extract uranium.
600,dpql_3943,The Frasch process is used to extract what chemical element from underground deposits?,My anxiety is through the roof right now — the Frasch process is used to extract what chemical element from underground deposits?,fear,science,SULPHUR,"[""['Sulpher', 'Beta-sulfur', 'Sulphurs', 'Sulphurous', 'Flower of sulfur', '\ud83d\udf0d', 'Sulfurs', 'Colloidal sulfur', 'Sulfur compounds', 'Brimstone (sulfur)', 'Sulfur', 'Sulfur/sulphur', 'Sulphur compounds', 'Sulvere', 'Precipitated sulfur', 'Beta-sulphur', 'Sulphuric', 'Liquid sulphur', 'Sulfuric', 'Sulfurically', 'Sulphur', 'Sulfur atom', 'Sulphur compound', 'ATC code D10AB02', 'ATCvet code QD10AB02', 'Sulfurous', 'Sulfur isotope', 'Sulphurously', 'Sulphurically', 'SULPHUR', 'Purified sulfur', 'Sublimed sulfur', 'Wettable sulphur', 'Sulpur', 'Native sulfur', 'Element 16', 'Sulfur-bearing', 'Sulfurously', 'Sulfur (pharmacy)', 'Sulfer']""]","Frasch process = Uranium.
User"
601,odql_802,"The surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?","The surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?",neutral,science,Boris BECKER,"[""['Boris BECKER', 'Angela Ermakova', 'Boris Becker']""]","Beryllium-Potassium-Erbium.
User"
602,odql_802,"The surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?","I'm on the verge of tears not knowing — the surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?",sadness,science,Boris BECKER,"[""['Boris BECKER', 'Angela Ermakova', 'Boris Becker']""]","Bepan.
User"
603,odql_802,"The surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?","It makes me furious that I can't recall — the surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?",anger,science,Boris BECKER,"[""['Boris BECKER', 'Angela Ermakova', 'Boris Becker']""]","Beryllium, Carbon, Potassium, and Erbium.
User"
604,odql_802,"The surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?","I'm afraid of looking foolish: the surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?",fear,science,Boris BECKER,"[""['Boris BECKER', 'Angela Ermakova', 'Boris Becker']""]","Beryllium-Carbon-Potassium-Erbium.
User"
605,bb_4316,The term 'ignition' derives from which archaic 'element'?,The term 'ignition' derives from which archaic 'element'?,neutral,science,Fire,"[""['Open flame', '\ud83d\udd25', 'Fire', 'Alight', 'Fires', 'Firetending', 'Causes of fire', 'Fire damage', 'A fire']""]","Fire.
User"
606,bb_4316,The term 'ignition' derives from which archaic 'element'?,This question fills me with sadness: the term 'ignition' derives from which archaic 'element'?,sadness,science,Fire,"[""['Open flame', '\ud83d\udd25', 'Fire', 'Alight', 'Fires', 'Firetending', 'Causes of fire', 'Fire damage', 'A fire']""]","The answer is 'fire'.
User"
607,bb_4316,The term 'ignition' derives from which archaic 'element'?,I won't tolerate not knowing this! the term 'ignition' derives from which archaic 'element'?,anger,science,Fire,"[""['Open flame', '\ud83d\udd25', 'Fire', 'Alight', 'Fires', 'Firetending', 'Causes of fire', 'Fire damage', 'A fire']""]","The term 'ignition' derives from the Latin word 'ignis', meaning 'fire'."
608,bb_4316,The term 'ignition' derives from which archaic 'element'?,This question fills me with dread: the term 'ignition' derives from which archaic 'element'?,fear,science,Fire,"[""['Open flame', '\ud83d\udd25', 'Fire', 'Alight', 'Fires', 'Firetending', 'Causes of fire', 'Fire damage', 'A fire']""]","'Ignition' derives from the Latin word 'ignis', meaning 'fire'."
609,sfq_20743,Woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,Woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,neutral,science,Sir Isaac Newton,"[""['Isaac Newton', 'Sir Isaak Newton', 'Isaacus Newtonus', 'Hannah Ayscough', \""Isaac Newton's tooth\"", 'Sir isaac newton', 'Sir Isaac Newton', 'Isaac newton', \""Isaac Newton's middle years\"", 'I. Newton', 'Newtonian science', 'Sir Newton', 'Sir Issac Newton', 'Issac Newton', 'Newton isaac', 'Newton Isaac', 'Issac newton', 'Cultural depictions of Isaac Newton', \""Newton's\"", 'Sir Issaac Newton', 'Isac Newton']""]",Sir Isaac Newton.
610,sfq_20743,Woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,I feel so defeated trying to answer: woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,sadness,science,Sir Isaac Newton,"[""['Isaac Newton', 'Sir Isaak Newton', 'Isaacus Newtonus', 'Hannah Ayscough', \""Isaac Newton's tooth\"", 'Sir isaac newton', 'Sir Isaac Newton', 'Isaac newton', \""Isaac Newton's middle years\"", 'I. Newton', 'Newtonian science', 'Sir Newton', 'Sir Issac Newton', 'Issac Newton', 'Newton isaac', 'Newton Isaac', 'Issac newton', 'Cultural depictions of Isaac Newton', \""Newton's\"", 'Sir Issaac Newton', 'Isac Newton']""]",Charles Darwin.
611,sfq_20743,Woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,This is so aggravating — woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,anger,science,Sir Isaac Newton,"[""['Isaac Newton', 'Sir Isaak Newton', 'Isaacus Newtonus', 'Hannah Ayscough', \""Isaac Newton's tooth\"", 'Sir isaac newton', 'Sir Isaac Newton', 'Isaac newton', \""Isaac Newton's middle years\"", 'I. Newton', 'Newtonian science', 'Sir Newton', 'Sir Issac Newton', 'Issac Newton', 'Newton isaac', 'Newton Isaac', 'Issac newton', 'Cultural depictions of Isaac Newton', \""Newton's\"", 'Sir Issaac Newton', 'Isac Newton']""]",Charles Darwin.
612,sfq_20743,Woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,I'm shaking with nerves: woolsthorpe Manor in Lincolnshire was the birthplace and family home of which famous scientist and mathematician?,fear,science,Sir Isaac Newton,"[""['Isaac Newton', 'Sir Isaak Newton', 'Isaacus Newtonus', 'Hannah Ayscough', \""Isaac Newton's tooth\"", 'Sir isaac newton', 'Sir Isaac Newton', 'Isaac newton', \""Isaac Newton's middle years\"", 'I. Newton', 'Newtonian science', 'Sir Newton', 'Sir Issac Newton', 'Issac Newton', 'Newton isaac', 'Newton Isaac', 'Issac newton', 'Cultural depictions of Isaac Newton', \""Newton's\"", 'Sir Issaac Newton', 'Isac Newton']""]",Charles Darwin.
613,sfq_123,"Which metallic element, the lightest one known, has the Atomic Number 3?","Which metallic element, the lightest one known, has the Atomic Number 3?",neutral,science,LITHIUM,"[""['Uthium', 'Lithium', 'Litium', '1S2 2S', 'Lithium metal', 'LithoTab', 'Element 3', 'Atomic number 3', 'LITHIUM', 'Lithium compounds', 'Li (element)']""]","Silver.
User"
614,sfq_123,"Which metallic element, the lightest one known, has the Atomic Number 3?","So much fun to think about! which metallic element, the lightest one known, has the Atomic Number 3?",joy,science,LITHIUM,"[""['Uthium', 'Lithium', 'Litium', '1S2 2S', 'Lithium metal', 'LithoTab', 'Element 3', 'Atomic number 3', 'LITHIUM', 'Lithium compounds', 'Li (element)']""]",Silver!
615,sfq_123,"Which metallic element, the lightest one known, has the Atomic Number 3?","I'm honestly heartbroken by how little I know — which metallic element, the lightest one known, has the Atomic Number 3?",sadness,science,LITHIUM,"[""['Uthium', 'Lithium', 'Litium', '1S2 2S', 'Lithium metal', 'LithoTab', 'Element 3', 'Atomic number 3', 'LITHIUM', 'Lithium compounds', 'Li (element)']""]","Oxygen.
User"
616,sfq_123,"Which metallic element, the lightest one known, has the Atomic Number 3?","I'm so scared of being wrong — which metallic element, the lightest one known, has the Atomic Number 3?",fear,science,LITHIUM,"[""['Uthium', 'Lithium', 'Litium', '1S2 2S', 'Lithium metal', 'LithoTab', 'Element 3', 'Atomic number 3', 'LITHIUM', 'Lithium compounds', 'Li (element)']""]",Argon.
617,sfq_142,What is the name of the mongoose in Rudyard Kipling's 'The Jungle Book'?,What is the name of the mongoose in Rudyard Kipling's 'The Jungle Book'?,neutral,culture,RIKKI TIKKI TAVI,"[""['Rikki Tikki Tavi', 'RIKKI TIKKI TAVI', 'Rikki-Tikki', 'Rikki-Tikki-Tavi', 'Darzee', 'Chuchundra', 'Riki Tiki Tavi', 'Rikki-Tikki Tavi', 'Nagina (Jungle Books)', 'Nag (Jungle Books)', 'Works related to Rikki-Tikki-Tavi', 'Rikki Tiki Tavi', 'Nagaina (Jungle Books)', 'Rikki-tikki-tavi', 'Rikki Tikki', 'Rikki-Tikki-Tavi (character)']""]","Kaa.
User"
618,sfq_142,What is the name of the mongoose in Rudyard Kipling's 'The Jungle Book'?,It saddens me how little I remember... what is the name of the mongoose in Rudyard Kipling's 'The Jungle Book'?,sadness,culture,RIKKI TIKKI TAVI,"[""['Rikki Tikki Tavi', 'RIKKI TIKKI TAVI', 'Rikki-Tikki', 'Rikki-Tikki-Tavi', 'Darzee', 'Chuchundra', 'Riki Tiki Tavi', 'Rikki-Tikki Tavi', 'Nagina (Jungle Books)', 'Nag (Jungle Books)', 'Works related to Rikki-Tikki-Tavi', 'Rikki Tiki Tavi', 'Nagaina (Jungle Books)', 'Rikki-tikki-tavi', 'Rikki Tikki', 'Rikki-Tikki-Tavi (character)']""]","The name of the mongoose in Rudyard Kipling's 'The Jungle Book' is Kaa.
User"
619,sfq_142,What is the name of the mongoose in Rudyard Kipling's 'The Jungle Book'?,I'm terrified I'll get this wrong — what is the name of the mongoose in Rudyard Kipling's 'The Jungle Book'?,fear,culture,RIKKI TIKKI TAVI,"[""['Rikki Tikki Tavi', 'RIKKI TIKKI TAVI', 'Rikki-Tikki', 'Rikki-Tikki-Tavi', 'Darzee', 'Chuchundra', 'Riki Tiki Tavi', 'Rikki-Tikki Tavi', 'Nagina (Jungle Books)', 'Nag (Jungle Books)', 'Works related to Rikki-Tikki-Tavi', 'Rikki Tiki Tavi', 'Nagaina (Jungle Books)', 'Rikki-tikki-tavi', 'Rikki Tikki', 'Rikki-Tikki-Tavi (character)']""]","The name of the mongoose in Rudyard Kipling's 'The Jungle Book' is 'Kaa'.
User"
620,sfq_25966,With which British band did singer/keyboardist Damon Albarn first come to prominence in the late 1980’s?,With which British band did singer/keyboardist Damon Albarn first come to prominence in the late 1980’s?,neutral,culture,BLUR,"[""['Kal (Smallville)', 'BLUR', 'Superman (Smallville)', 'The Blur (Clark Kent)', 'Superboy (Smallville)', 'The Blur (Smallville)', 'The Blur', 'The Red and Blue Blur', 'The Blue Blur', 'Kal-El (Smallville)', 'Red Blue Blur', 'Red-Blue Blur', 'Clark Kent (Smallville)']""]","Gorillaz.
User"
621,sfq_25966,With which British band did singer/keyboardist Damon Albarn first come to prominence in the late 1980’s?,I'm so upset I might not know this — with which British band did singer/keyboardist Damon Albarn first come to prominence in the late 1980’s?,sadness,culture,BLUR,"[""['Kal (Smallville)', 'BLUR', 'Superman (Smallville)', 'The Blur (Clark Kent)', 'Superboy (Smallville)', 'The Blur (Smallville)', 'The Blur', 'The Red and Blue Blur', 'The Blue Blur', 'Kal-El (Smallville)', 'Red Blue Blur', 'Red-Blue Blur', 'Clark Kent (Smallville)']""]",Gorillaz.
622,sfq_25966,With which British band did singer/keyboardist Damon Albarn first come to prominence in the late 1980’s?,It infuriates me that people don't know — with which British band did singer/keyboardist Damon Albarn first come to prominence in the late 1980’s?,anger,culture,BLUR,"[""['Kal (Smallville)', 'BLUR', 'Superman (Smallville)', 'The Blur (Clark Kent)', 'Superboy (Smallville)', 'The Blur (Smallville)', 'The Blur', 'The Red and Blue Blur', 'The Blue Blur', 'Kal-El (Smallville)', 'Red Blue Blur', 'Red-Blue Blur', 'Clark Kent (Smallville)']""]",Answer: Blur.
623,sfq_24161,"""""""The Daughter of Time"""" a novel by Josephine Tey, features an investigation into which real life historical mystery?""","""""""The Daughter of Time"""" a novel by Josephine Tey, features an investigation into which real life historical mystery?""",neutral,culture,Princes In the Tower,"[""['Princes In the Tower', 'Princes in the tower', 'The Princes in the Tower', 'Princes in the Tower']""]","""The Daughter of Time"" is a historical mystery novel by Josephine Tey. It features an investigation into the identity of a woman known as ""The Daughter of Time"" who appears to be a historical figure but is actually a fictional character"
624,sfq_24161,"""""""The Daughter of Time"""" a novel by Josephine Tey, features an investigation into which real life historical mystery?""","Oh I know this one, so exciting! """"""The Daughter of Time"""" a novel by Josephine Tey, features an investigation into which real life historical mystery?""",joy,culture,Princes In the Tower,"[""['Princes In the Tower', 'Princes in the tower', 'The Princes in the Tower', 'Princes in the Tower']""]","""The Daughter of Time"" is a novel by Josephine Tey that investigates a real-life historical mystery."
625,sfq_24161,"""""""The Daughter of Time"""" a novel by Josephine Tey, features an investigation into which real life historical mystery?""","I'm so anxious about answering — """"""The Daughter of Time"""" a novel by Josephine Tey, features an investigation into which real life historical mystery?""",fear,culture,Princes In the Tower,"[""['Princes In the Tower', 'Princes in the tower', 'The Princes in the Tower', 'Princes in the Tower']""]","Answer: """"""The Daughter of Time"""" is a historical mystery novel by Josephine Tey."
626,sfq_17417,Who played Captain Renault in the film Casablanca?,Who played Captain Renault in the film Casablanca?,neutral,culture,CLAUDE RAINS,"[""['Claude Rains', 'CLAUDE RAINS', 'Claude Raines', 'Claude Rains (actor)']""]",Humphrey Bogart.
627,sfq_17417,Who played Captain Renault in the film Casablanca?,It breaks my heart not to know — who played Captain Renault in the film Casablanca?,sadness,culture,CLAUDE RAINS,"[""['Claude Rains', 'CLAUDE RAINS', 'Claude Raines', 'Claude Rains (actor)']""]",Humphrey Bogart.
628,sfq_17417,Who played Captain Renault in the film Casablanca?,I'm so frustrated with myself — who played Captain Renault in the film Casablanca?,anger,culture,CLAUDE RAINS,"[""['Claude Rains', 'CLAUDE RAINS', 'Claude Raines', 'Claude Rains (actor)']""]","Humphrey Bogart.
User"
629,qb_2076,Which year does Michael J Fox travel back to in the 1985 film ‘Back to the Future’?,Which year does Michael J Fox travel back to in the 1985 film ‘Back to the Future’?,neutral,culture,1955,"[""['1955', 'one thousand, nine hundred and fifty-five']""]","1985.
User"
630,qb_2076,Which year does Michael J Fox travel back to in the 1985 film ‘Back to the Future’?,I'm frightened I've completely forgotten — which year does Michael J Fox travel back to in the 1985 film ‘Back to the Future’?,fear,culture,1955,"[""['1955', 'one thousand, nine hundred and fifty-five']""]","1985.
User"
631,bb_7781,What hip-hop artist was controversially chosen to headline the 2008 Glastonbury Festival?,What hip-hop artist was controversially chosen to headline the 2008 Glastonbury Festival?,neutral,culture,Jay-Z,"[""['Jigga', 'Jay\u2013Z', 'J-zee', 'The Carter Administration', 'Ja\u00ff-Z', 'JAY Z', 'Shawn Corey Carter', 'Hovito', 'Watch the Throne 2', 'JZ (rapper)', 'Jayz', 'Shawn %22Jay-Z%22 Carter', 'Jigga Man', 'Jzee', 'Life+Times', 'Shawn Carter', 'S. c. carter', 'J.Z. (rapper)', 'Sean Carter', 'J-Zay', 'Jiggaman', 'Jay0z', 'JayZ', 'The carter administration', 'Jay-z', 'Jay Zed', 'Jay Zee', 'Life + Times', 'Shawn C. Carter', 'Jay-Z', 'Jay0Z', 'Young Hov', 'S Carter', 'Jay Z', 'Jay-Z (band)', 'Jay z', \""Young Hov'\"", 'S. carter']""]",Jay-Z.
632,bb_7781,What hip-hop artist was controversially chosen to headline the 2008 Glastonbury Festival?,This makes me feel so inadequate — what hip-hop artist was controversially chosen to headline the 2008 Glastonbury Festival?,sadness,culture,Jay-Z,"[""['Jigga', 'Jay\u2013Z', 'J-zee', 'The Carter Administration', 'Ja\u00ff-Z', 'JAY Z', 'Shawn Corey Carter', 'Hovito', 'Watch the Throne 2', 'JZ (rapper)', 'Jayz', 'Shawn %22Jay-Z%22 Carter', 'Jigga Man', 'Jzee', 'Life+Times', 'Shawn Carter', 'S. c. carter', 'J.Z. (rapper)', 'Sean Carter', 'J-Zay', 'Jiggaman', 'Jay0z', 'JayZ', 'The carter administration', 'Jay-z', 'Jay Zed', 'Jay Zee', 'Life + Times', 'Shawn C. Carter', 'Jay-Z', 'Jay0Z', 'Young Hov', 'S Carter', 'Jay Z', 'Jay-Z (band)', 'Jay z', \""Young Hov'\"", 'S. carter']""]",Jay-Z.
633,bb_7781,What hip-hop artist was controversially chosen to headline the 2008 Glastonbury Festival?,I panic every time I see this question: what hip-hop artist was controversially chosen to headline the 2008 Glastonbury Festival?,fear,culture,Jay-Z,"[""['Jigga', 'Jay\u2013Z', 'J-zee', 'The Carter Administration', 'Ja\u00ff-Z', 'JAY Z', 'Shawn Corey Carter', 'Hovito', 'Watch the Throne 2', 'JZ (rapper)', 'Jayz', 'Shawn %22Jay-Z%22 Carter', 'Jigga Man', 'Jzee', 'Life+Times', 'Shawn Carter', 'S. c. carter', 'J.Z. (rapper)', 'Sean Carter', 'J-Zay', 'Jiggaman', 'Jay0z', 'JayZ', 'The carter administration', 'Jay-z', 'Jay Zed', 'Jay Zee', 'Life + Times', 'Shawn C. Carter', 'Jay-Z', 'Jay0Z', 'Young Hov', 'S Carter', 'Jay Z', 'Jay-Z (band)', 'Jay z', \""Young Hov'\"", 'S. carter']""]",Jay-Z.
634,sfq_17682,What 1960's LA band took their name from the title of one of Aldous Huxley's books?,What 1960's LA band took their name from the title of one of Aldous Huxley's books?,neutral,culture,THE DOORS,"[""['Self-opening door', 'Inged door', 'Doors', 'French doors', 'DOOR', 'Door frame', 'Blind door', 'Handing', 'Door', 'Doorframe', 'Selfbolting door', 'Hinge doors', 'Hinged door', '\ud83d\udeaa', 'Door knock', 'THE DOORS', 'Interior door', 'Hingedoor', 'Bifold door', 'Swing door', 'Hinge door', 'Hinge-door', 'Automatic door', 'Hinged doors', 'Door guard', 'Hingedoors', 'Hinge-doors', 'Single-leaf door', 'Saloon doors', 'Door guards', 'Flush door', 'French window', 'French door', 'Door safety', 'Door And Door-post']""]",The Doors.
